,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice,Totalarea,TotalBsmtFin,TotalSF,TotalBath,TotalPorch,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_RFn,GarageFinish_Unf,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
0,1,60,65.0,8450,7,5,2003,196.0,856,856,854,1710,1,2,1,3,8,0,2003.0,548,0,61,2,2008,5.319106059309776,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,2,20,80.0,9600,6,8,1976,0.0,1262,1262,0,1262,0,2,0,3,6,1,1976.0,460,298,0,5,2007,5.258876629372131,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2,3,60,68.0,11250,7,5,2002,162.0,920,920,866,1786,1,2,1,3,6,1,2001.0,608,0,42,9,2008,5.349277527467955,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
3,4,70,60.0,9550,7,5,1970,0.0,756,961,756,1717,1,1,0,3,7,1,1998.0,642,0,35,2,2006,5.146128035678238,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
4,5,60,84.0,14260,8,5,2000,350.0,1145,1145,1053,2198,1,2,1,4,9,1,2000.0,836,192,84,12,2008,5.3979400086720375,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
5,6,50,85.0,14115,5,5,1995,0.0,796,796,566,1362,1,1,1,1,5,0,1993.0,480,40,30,10,2009,5.155336037465061,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
6,7,20,75.0,10084,8,5,2005,186.0,1686,1694,0,1694,1,2,0,3,7,1,2004.0,636,255,57,8,2007,5.487138375477186,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
7,8,60,67.0,10382,7,6,1973,240.0,1107,1107,983,2090,1,2,1,3,7,2,1973.0,484,235,204,11,2009,5.301029995663981,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
8,9,50,51.0,6120,7,5,1950,0.0,952,1022,752,1774,0,2,0,2,8,2,1931.0,468,90,0,4,2008,5.113609151073028,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
9,10,190,50.0,7420,5,6,1950,0.0,991,1077,0,1077,1,1,0,2,5,2,1939.0,205,0,4,1,2008,5.071882007306125,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
10,11,20,70.0,11200,5,5,1965,0.0,1040,1040,0,1040,1,1,0,3,5,0,1965.0,384,0,0,2,2008,5.112269768417271,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
11,12,60,85.0,11924,9,5,2006,286.0,1175,1182,1142,2324,1,3,0,4,11,2,2005.0,736,147,21,7,2006,5.537819095073274,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,13,20,54.0,12968,5,6,1962,0.0,912,912,0,912,1,1,0,2,4,0,1962.0,352,140,0,9,2008,5.158362492095249,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
13,14,20,91.0,10652,7,5,2007,306.0,1494,1494,0,1494,0,2,0,3,7,1,2006.0,840,160,33,8,2007,5.446381812222442,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
14,15,20,57.0,10920,6,5,1960,212.0,1253,1253,0,1253,1,1,1,2,5,1,1960.0,352,0,213,5,2008,5.195899652409234,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
15,16,45,51.0,6120,7,8,2001,0.0,832,854,0,854,0,1,0,2,5,0,1991.0,576,48,112,7,2007,5.12057393120585,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
16,17,20,55.0,11241,6,7,1970,180.0,1004,1004,0,1004,1,1,0,2,5,1,1970.0,480,0,0,3,2010,5.173186268412274,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
17,18,90,72.0,10791,4,5,1967,0.0,0,1296,0,1296,0,2,0,2,6,0,1967.0,516,0,0,10,2006,4.954242509439325,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
18,19,20,66.0,13695,5,5,2004,0.0,1114,1114,0,1114,1,1,1,3,6,0,2004.0,576,0,102,6,2008,5.201397124320452,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
