,house_area,quality,year_built,year_remodel_add,garage_year_build,number_of_bathrooms,basement_area,has_Fireplaces_or_not,Total_rooms,grade_living_area,garage_area,garage_capacite,SalePrice
0,1300,6,1980,1980,1980,1,561,1,5,1229,462,2,124000
1,1470,4,1970,1970,1977,1,630,0,3,630,0,0,137402
2,1476,4,1970,1970,1977,1,546,0,5,1092,0,0,159270
3,1477,4,1970,1970,1970,1,630,0,3,630,286,1,80000
4,1477,6,1970,2007,1977,2,546,0,6,1092,0,0,161067
5,1484,4,1972,1972,1972,1,546,0,5,1092,253,1,165086
6,1488,6,1980,1992,1980,1,561,1,5,1229,462,2,154650
8,1495,4,1970,1970,1977,1,546,0,5,1092,0,0,164210
9,1504,4,1972,1972,1972,1,546,0,5,1092,253,1,164228
10,1526,4,1970,1970,1977,1,546,0,5,1092,0,0,166274
11,1526,4,1970,2002,1970,1,630,0,3,630,286,1,86000
12,1533,4,1970,1970,1970,1,530,0,4,992,297,1,153219
13,1533,4,1970,1970,1970,1,546,0,5,1092,286,1,172917
14,1533,4,1970,2008,1978,1,546,1,6,1344,0,0,97000
15,1533,5,1970,1970,1978,1,630,0,3,630,0,0,92000
16,1596,4,1973,1973,1973,1,462,0,5,988,297,1,91000
17,1596,4,1973,1973,1973,1,462,1,4,988,297,1,139169
18,1612,6,1980,1980,1980,1,561,1,5,1229,462,2,151579
19,1680,5,1971,1971,1991,2,630,0,6,1302,280,1,112000
20,1680,5,1971,1971,1997,1,525,0,6,1092,320,1,159672
21,1680,5,1972,1972,1972,2,630,0,6,1302,264,1,119500
22,1680,5,1972,1972,1972,2,630,0,6,1302,264,1,171411
23,1680,6,1971,1971,1971,1,483,0,4,987,264,1,85400
24,1680,6,1971,1971,1971,1,483,0,5,987,264,1,89500
25,1680,6,1971,1971,1971,1,483,0,5,987,264,1,145291
26,1680,6,1971,1971,1971,1,525,0,6,1092,264,1,88000
27,1680,6,1971,1971,1978,1,672,0,7,1218,0,0,91500
28,1680,6,1972,1972,1972,1,483,0,5,948,264,1,154406
29,1680,6,1972,1972,1972,1,483,0,5,987,288,1,151713
30,1680,6,1972,1972,1972,1,483,1,5,987,288,1,94500
31,1680,6,1972,1972,1972,1,525,0,6,1092,264,1,170996
32,1680,6,1972,1972,1972,1,672,0,7,1218,264,1,118000
33,1680,6,1972,2007,1972,1,483,0,5,987,264,1,118000
34,1680,6,1973,1973,1973,1,483,0,5,987,264,1,100000
35,1680,6,1973,1973,1973,1,483,0,5,987,264,1,147086
36,1680,6,1973,1973,1973,1,483,0,5,987,264,1,151713
37,1700,7,1980,1981,1980,2,430,0,7,1700,450,1,151131
38,1733,6,1980,1980,1980,1,516,1,5,1032,452,2,149607
39,1782,6,1980,1980,1980,1,516,1,5,1045,462,2,159233
40,1869,6,1970,1970,1987,1,483,0,5,987,280,1,106000
41,1879,6,1980,1980,1980,1,516,1,5,1032,462,2,158527
42,1890,4,1972,1972,1972,1,546,0,5,1092,286,1,163399
43,1890,4,1972,1972,1978,1,630,0,3,630,0,0,81000
44,1890,4,1976,1976,1976,1,546,0,6,1092,286,1,163883
45,1890,6,1972,1972,1973,1,494,0,6,1030,264,1,168095
46,1890,6,1972,1972,1975,1,483,0,5,987,352,1,149709
47,1890,6,1973,1973,1973,1,672,0,7,1218,264,1,113000
48,1894,4,1970,1970,1970,1,546,0,6,1092,286,1,164788
49,1900,4,1970,1970,1977,1,546,0,5,1092,0,0,163419
50,1920,5,1971,1971,1971,1,765,0,6,1365,440,2,122500
51,1936,4,1970,1970,1977,1,546,0,5,1092,0,0,167081
52,1936,4,1970,1970,1978,1,630,0,3,630,0,0,84500
53,1950,6,1980,1980,1980,2,716,1,6,1556,452,2,151000
54,1953,6,1973,1973,1973,1,483,0,5,987,264,1,83000
55,1974,4,1973,1973,1973,1,546,0,6,1092,286,1,83500
56,1974,4,1973,2006,1973,1,526,0,5,988,297,1,152084
58,2016,5,1970,1970,1970,2,630,0,6,1302,440,2,106000
59,2058,6,1973,1973,1973,1,672,0,7,1218,264,1,186328
60,2104,7,1976,1976,1976,1,836,0,5,836,345,1,155862
61,2117,6,2000,2000,2000,2,756,0,4,1573,440,2,169854
62,2117,6,2000,2000,2000,2,756,0,5,1573,440,2,177500
63,2117,6,2000,2000,2000,2,756,1,4,1512,440,2,168500
64,2117,6,2000,2000,2000,2,756,1,5,1525,440,2,177000
65,2160,5,1973,1973,1973,1,765,1,7,1365,440,2,167522
66,2160,7,1999,2000,1999,2,600,0,4,1252,462,2,160000
67,2160,7,1999,2000,1999,2,672,0,5,1404,462,2,165726
68,2179,6,1976,1976,1976,2,855,1,6,1456,460,2,168664
69,2205,6,1973,1973,1973,1,525,0,6,1092,264,1,162293
70,2217,4,1970,1970,1970,1,546,0,6,1092,286,1,88000
71,2268,7,2003,2004,2003,2,764,0,6,1626,474,2,173000
72,2280,6,1975,1975,1975,2,855,1,6,1456,440,2,164167
73,2280,6,1976,1976,1976,2,855,1,7,1456,440,2,148500
74,2280,6,1978,1978,1978,2,855,1,7,1456,440,2,146000
75,2280,6,1999,1999,1999,2,744,0,6,1549,440,2,163753
76,2280,6,1999,1999,1999,2,744,1,6,1501,440,2,170175
77,2280,7,1975,1975,1975,1,836,0,4,836,308,1,150891
78,2280,7,1975,1975,1975,2,1057,1,4,1055,440,2,153999
79,2280,7,1976,1976,1976,2,1055,0,4,1055,319,1,152272
80,2280,7,1999,1999,1999,2,744,0,6,1501,440,2,179400
81,2289,6,1978,1978,1978,2,855,1,7,1441,440,2,148500
82,2304,7,1978,1978,1978,2,1061,0,4,1055,319,1,151422
83,2308,6,1974,1974,1974,2,855,1,6,1322,440,2,147000
84,2308,6,1975,1975,1975,2,855,0,7,1456,460,2,178188
85,2308,6,1976,1976,1976,2,804,1,7,1548,440,2,155000
86,2308,6,1976,1976,1976,2,804,1,7,1548,440,2,168434
87,2349,6,1977,1977,1977,2,855,1,6,1456,440,2,164096
88,2364,6,1978,1978,1978,2,804,1,7,1548,440,2,166335
89,2364,6,1978,1978,1978,2,855,1,6,1456,440,2,163020
90,2368,5,1970,1970,1970,1,765,0,7,1365,440,2,125000
91,2394,5,1973,1973,1973,1,945,1,5,945,253,1,150011
92,2403,7,2003,2003,2003,2,530,0,4,1080,496,2,151133
93,2448,7,2003,2004,2003,2,764,0,6,1626,474,2,154000
94,2448,7,2003,2004,2003,2,764,0,6,1626,474,2,157437
95,2500,7,1915,2005,1915,1,910,1,7,1826,164,1,155000
96,2522,6,2004,2006,2004,2,970,0,7,1709,380,2,130000
97,2522,7,2004,2004,2004,2,970,0,7,1709,380,2,130000
98,2522,7,2004,2004,2004,2,970,0,7,1709,380,2,137500
99,2522,7,2004,2004,2004,2,970,0,7,1709,380,2,167129
100,2529,7,1977,1977,1977,2,1055,0,4,1055,440,2,156491
101,2544,6,2005,2005,2005,2,600,0,4,1236,480,2,150306
102,2544,7,2004,2005,2004,2,600,0,4,1200,480,2,146991
103,2544,7,2005,2005,2005,2,600,0,4,1223,480,2,147400
104,2544,7,2005,2005,2005,2,600,0,4,1223,480,2,156106
105,2572,7,1999,1999,1999,2,696,0,6,1416,484,2,155000
