,front_house_area,house_area,street,quality,year_built,year_remodel_add,garage_year_build,basement_quality,basement_area,central_air_conditioning,heating,grade_living_area,wood_deck_area
0,65.0,8450,Pave,7,2003,2003,2003.0,Gd,856.0,Y,GasA,1710,0
1,80.0,9600,Pave,6,1976,1976,1976.0,Gd,1262.0,Y,GasA,1262,298
2,68.0,11250,Pave,7,2001,2002,2001.0,Gd,920.0,Y,GasA,1786,0
3,60.0,9550,Pave,7,1915,1970,1998.0,TA,756.0,Y,GasA,1717,0
4,84.0,14260,Pave,8,2000,2000,2000.0,Gd,1145.0,Y,GasA,2198,192
5,85.0,14115,Pave,5,1993,1995,1993.0,Gd,796.0,Y,GasA,1362,40
6,75.0,10084,Pave,8,2004,2005,2004.0,Ex,1686.0,Y,GasA,1694,255
7,69.30579531442663,10382,Pave,7,1973,1973,1973.0,Gd,1107.0,Y,GasA,2090,235
8,51.0,6120,Pave,7,1931,1950,1931.0,TA,952.0,Y,GasA,1774,90
9,50.0,7420,Pave,5,1939,1950,1939.0,TA,991.0,Y,GasA,1077,0
10,70.0,11200,Pave,5,1965,1965,1965.0,TA,1040.0,Y,GasA,1040,0
11,85.0,11924,Pave,9,2005,2006,2005.0,Ex,1175.0,Y,GasA,2324,147
12,69.30579531442663,12968,Pave,5,1962,1962,1962.0,TA,912.0,Y,GasA,912,140
13,91.0,10652,Pave,7,2006,2007,2006.0,Gd,1494.0,Y,GasA,1494,160
14,69.30579531442663,10920,Pave,6,1960,1960,1960.0,TA,1253.0,Y,GasA,1253,0
15,51.0,6120,Pave,7,1929,2001,1991.0,TA,832.0,Y,GasA,854,48
16,69.30579531442663,11241,Pave,6,1970,1970,1970.0,TA,1004.0,Y,GasA,1004,0
18,66.0,13695,Pave,5,2004,2004,2004.0,TA,1114.0,Y,GasA,1114,0
19,70.0,7560,Pave,5,1958,1965,1958.0,TA,1029.0,Y,GasA,1339,0
20,101.0,14215,Pave,8,2005,2006,2005.0,Ex,1158.0,Y,GasA,2376,240
21,57.0,7449,Pave,7,1930,1950,1930.0,TA,637.0,Y,GasA,1108,0
22,75.0,9742,Pave,8,2002,2002,2002.0,Gd,1777.0,Y,GasA,1795,171
23,44.0,4224,Pave,5,1976,1976,1976.0,Gd,1040.0,Y,GasA,1060,100
