,house_area,quality,year_built,year_remodel_add,garage_year_build,number_of_bathrooms,basement_area,has_Fireplaces_or_not,TotRmsAbvGrd,grade_living_area,garage_area,garage_capacite,SalePrice
0,8450,7,2003,2003,2003.0,2,856,0,8,1710,548,2,208500
1,9600,6,1976,1976,1976.0,2,1262,1,6,1262,460,2,181500
2,11250,7,2001,2002,2001.0,2,920,1,6,1786,608,2,223500
3,9550,7,1915,1970,1998.0,1,756,1,7,1717,642,3,140000
4,14260,8,2000,2000,2000.0,2,1145,1,9,2198,836,3,250000
5,14115,5,1993,1995,1993.0,1,796,0,5,1362,480,2,143000
6,10084,8,2004,2005,2004.0,2,1686,1,7,1694,636,2,307000
7,10382,7,1973,1973,1973.0,2,1107,2,7,2090,484,2,200000
8,6120,7,1931,1950,1931.0,2,952,2,8,1774,468,2,129900
9,7420,5,1939,1950,1939.0,1,991,2,5,1077,205,1,118000
10,11200,5,1965,1965,1965.0,1,1040,0,5,1040,384,1,129500
11,11924,9,2005,2006,2005.0,3,1175,2,11,2324,736,3,345000
12,12968,5,1962,1962,1962.0,1,912,0,4,912,352,1,144000
13,10652,7,2006,2007,2006.0,2,1494,1,7,1494,840,3,279500
14,10920,6,1960,1960,1960.0,1,1253,1,5,1253,352,1,157000
15,6120,7,1929,2001,1991.0,1,832,0,5,854,576,2,132000
16,11241,6,1970,1970,1970.0,1,1004,1,5,1004,480,2,149000
18,13695,5,2004,2004,2004.0,1,1114,0,6,1114,576,2,159000
19,7560,5,1958,1965,1958.0,1,1029,0,6,1339,294,1,139000
20,14215,8,2005,2006,2005.0,3,1158,1,9,2376,853,3,325300
21,7449,7,1930,1950,1930.0,1,637,1,6,1108,280,1,139400
22,9742,8,2002,2002,2002.0,2,1777,1,7,1795,534,2,230000
23,4224,5,1976,1976,1976.0,1,1040,1,6,1060,572,2,129900
24,8246,5,1968,2001,1968.0,1,1060,1,6,1060,270,1,154000
25,14230,8,2007,2007,2007.0,2,1566,1,7,1600,890,3,256300
26,7200,5,1951,2000,2005.0,1,900,0,5,900,576,2,134800
27,11478,8,2007,2008,2008.0,2,1704,1,7,1704,772,3,306000
28,16321,5,1957,1997,1957.0,1,1484,2,6,1600,319,1,207500
31,8544,5,1966,2006,1966.0,1,1228,0,6,1228,271,1,149350
32,11049,8,2007,2007,2007.0,2,1234,0,7,1234,484,2,179900
33,10552,5,1959,1959,1959.0,1,1398,1,6,1700,447,2,165500
34,7313,9,2005,2005,2005.0,2,1561,1,6,1561,556,2,277500
35,13418,8,2004,2005,2004.0,3,1117,1,9,2452,691,3,309000
36,10859,5,1994,1995,1995.0,1,1097,0,6,1097,672,2,145000
37,8532,5,1954,1990,1954.0,1,1297,1,5,1297,498,2,153000
38,7922,5,1953,2007,1953.0,1,1057,0,5,1057,246,1,109000
40,8658,6,1965,1965,1965.0,2,1088,1,6,1324,440,2,160000
41,16905,5,1959,1959,1959.0,1,1350,2,5,1328,308,1,170000
42,9180,5,1983,1983,1983.0,1,840,0,5,884,504,2,144000
43,9200,5,1975,1980,1977.0,1,938,0,5,938,308,1,130250
44,7945,5,1959,1959,1959.0,1,1150,0,6,1150,300,1,141000
45,7658,9,2005,2005,2005.0,2,1752,1,6,1752,576,2,319900
46,12822,7,2003,2003,2003.0,1,1434,1,6,2149,670,2,239686
47,11096,8,2006,2006,2006.0,2,1656,0,7,1656,826,3,249700
48,4456,4,1920,2008,1978.5061638868744,2,736,0,8,1452,0,0,113000
49,7742,5,1966,1966,1966.0,1,955,0,6,955,386,1,127000
50,13869,6,1997,1997,1997.0,2,794,0,6,1470,388,2,177000
51,6240,6,1934,1950,1985.0,1,816,1,6,1176,528,2,114500
52,8472,5,1963,1963,1963.0,1,816,0,5,816,516,2,110000
53,50271,9,1981,1987,1981.0,0,1842,1,5,1842,894,3,385000
54,7134,5,1955,1955,1962.0,1,384,1,6,1360,572,2,130000
55,10175,6,1964,1964,1964.0,2,1425,1,7,1425,576,2,180500
56,2645,8,1999,2000,1999.0,2,970,0,7,1739,480,2,172500
57,11645,7,2004,2004,2004.0,2,860,0,7,1720,565,2,196500
59,7200,5,1972,1972,1973.0,1,780,0,4,780,352,1,124900
60,13072,6,2004,2004,2006.0,1,1158,0,5,1158,576,2,158000
61,7200,5,1920,1996,1935.0,1,530,0,6,1111,288,1,101000
62,6442,8,2006,2006,2006.0,2,1370,1,6,1370,484,2,202500
63,10300,7,1921,1950,1990.0,2,576,0,9,1710,480,2,140000
64,9375,7,1997,1998,1998.0,2,1057,0,8,2034,645,2,219500
65,9591,8,2004,2005,2004.0,2,1143,1,9,2473,852,3,317000
66,19900,7,1970,1989,1970.0,2,1947,1,7,2207,576,2,180000
67,10665,7,2003,2003,2003.0,2,1453,0,7,1479,558,2,226000
68,4608,4,1945,1950,1945.0,1,747,0,4,747,220,1,80000
69,15593,7,1953,1953,1953.0,2,1304,1,7,2287,667,2,225000
71,7599,4,1982,2006,1987.0,1,845,0,4,845,360,2,129500
72,10141,7,1998,1998,1998.0,2,832,1,7,1718,427,2,185000
73,10200,5,1954,2003,1989.0,1,1086,0,6,1086,490,2,144900
74,5790,3,1915,1950,1915.0,2,840,0,8,1605,379,1,107400
75,1596,4,1973,1973,1973.0,1,462,0,5,988,297,1,91000
76,8475,4,1956,1956,1956.0,1,952,0,4,952,283,1,135750
77,8635,5,1948,2001,1948.0,1,672,0,6,1285,240,1,127000
78,10778,4,1968,1968,1978.5061638868744,2,1768,0,8,1768,0,0,136500
79,10440,5,1910,1981,1966.0,1,440,0,5,1230,440,2,110000
80,13000,6,1968,1968,1968.0,2,896,1,8,2142,509,1,193500
81,4500,6,1998,1998,1998.0,2,1237,0,5,1337,405,2,153500
82,10206,8,2007,2007,2007.0,2,1563,1,6,1563,758,3,245000
83,8892,5,1960,1960,1974.0,1,1065,0,6,1065,461,2,126500
84,8530,7,1995,1996,1995.0,2,384,1,7,1474,400,2,168500
85,16059,8,1991,1992,1991.0,2,1288,1,9,2417,462,2,260000
86,11911,6,2005,2005,2005.0,2,684,1,6,1560,400,2,174000
87,3951,6,2009,2009,2009.0,2,612,0,4,1224,528,2,164500
88,8470,3,1915,1982,1978.5061638868744,1,1013,0,6,1526,0,0,85000
89,8070,4,1994,1995,1978.5061638868744,1,990,0,5,990,0,0,123600
91,8500,5,1961,1961,1961.0,1,1235,0,6,1235,480,2,98600
92,13360,5,1921,2006,1921.0,1,876,0,5,964,432,2,163500
93,7200,6,1910,1998,1900.0,2,1214,1,9,2291,506,2,133900
94,9337,6,1997,1997,1997.0,2,824,0,7,1786,684,2,204750
95,9765,6,1993,1993,1993.0,2,680,1,6,1470,420,2,185000
96,10264,7,1999,1999,1999.0,2,1588,0,6,1588,472,2,214000
97,10921,4,1965,1965,1965.0,1,960,0,6,960,432,1,94750
98,10625,5,1920,1950,1920.0,1,458,0,5,835,366,1,83000
99,9320,4,1959,1959,1978.5061638868744,1,950,0,6,1225,0,0,128950
100,10603,6,1977,2001,1977.0,2,1610,2,6,1610,480,2,205000
101,9206,6,1985,1985,1985.0,2,741,1,7,1732,476,2,178000
103,10402,7,2009,2009,2009.0,2,1226,0,6,1226,740,3,198900
104,7758,7,1931,1950,1951.0,1,1040,2,7,1818,240,1,169500
105,9375,8,2003,2004,2003.0,2,1053,1,9,1992,648,2,250000
107,6000,5,1948,1950,1948.0,1,789,0,5,789,250,1,115000
108,8500,5,1919,2005,1978.5061638868744,2,793,0,7,1517,0,0,115000
109,11751,6,1977,1977,1977.0,2,1844,1,7,1844,546,2,190000
110,9525,6,1954,1972,1954.0,2,994,0,7,1855,325,1,136900
111,7750,7,2000,2000,2000.0,2,384,1,7,1430,400,2,180000
113,21000,6,1953,1953,1953.0,2,1809,2,7,2259,450,2,217000
114,7259,6,1945,2002,1945.0,2,1028,1,9,2320,180,1,259500
115,3230,6,1999,1999,1999.0,2,729,1,5,1458,440,2,176000
116,11616,5,1962,1962,1962.0,1,1092,1,6,1092,288,1,139000
117,8536,5,2006,2007,2007.0,1,1125,0,5,1125,430,2,155000
119,8461,6,2005,2006,2005.0,2,728,1,8,1456,390,2,163990
120,21453,6,1969,1969,1969.0,1,938,2,4,988,540,2,180000
121,6060,4,1939,1950,1979.0,1,732,0,4,1123,264,1,100000
122,9464,6,1958,1958,1958.0,1,1080,0,5,1080,288,1,136000
123,7892,6,1993,1993,1993.0,2,1199,0,5,1199,530,2,153900
124,17043,6,1979,1998,1979.0,2,1362,1,7,1586,435,2,181000
125,6780,6,1935,1982,1978.5061638868744,1,520,0,5,754,0,0,84500
126,4928,6,1976,1976,1977.0,2,1078,1,5,958,440,2,128000
127,4388,5,1930,1950,1978.5061638868744,1,672,1,5,840,0,0,87000
128,7590,6,1966,1966,1966.0,1,660,1,6,1348,453,2,155000
129,8973,5,1958,1991,1998.0,1,1008,0,6,1053,750,2,150000
130,14200,7,1966,1966,1966.0,2,924,2,8,2157,487,2,226000
131,12224,6,2000,2000,2000.0,2,992,1,7,2054,390,2,244000
132,7388,5,1959,2002,1974.0,1,1063,0,7,1327,624,2,150750
133,6853,8,2001,2002,2001.0,2,1267,0,6,1296,471,2,220000
134,10335,5,1968,1993,1968.0,2,1461,1,7,1721,440,2,180000
135,10400,7,1970,1970,1970.0,2,1304,1,7,1682,530,2,174000
136,10355,5,1967,1967,1967.0,2,1214,1,5,1214,318,1,143000
137,11070,7,1988,1989,1989.0,3,1907,0,9,1959,766,3,171000
138,9066,8,1999,2000,1999.0,2,1004,2,7,1852,660,3,230000
139,15426,6,1997,1997,1997.0,2,928,0,7,1764,470,2,231500
140,10500,4,1971,1971,1978.5061638868744,1,864,1,5,864,0,0,115000
141,11645,7,2005,2005,2005.0,2,1734,0,7,1734,660,2,260000
142,8520,5,1952,1952,2000.0,2,910,0,6,1385,720,2,166000
143,10335,7,1999,1999,1999.0,2,1490,0,6,1501,577,2,204000
